id,name,Region, Population (2018 est) ,Penetration (% Population), Facebook Users (2018) ,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
AFG,Afghanistan,Asia,36373176,15.70%,3200000,0.2585,0.3202,0.3056,0.3562,0.1138
ALB,Albania,Europe,2934363,65.80%,1400000,0.6519,0.7584,0.7361,0.7877,0.4318
DZA,Algeria,Africa,42008054,44.20%,19000000,0.4227,0.2022,0.2153,0.664,0.3889
202,American Samoa,Oceania,55653,39.50%,22000,null,null,null,null,null
198,Andorra,Europe,76965,87.40%,42000,0.6857,0.5674,0.6042,0.7309,0.722
AGO,Angola,Africa,30774205,19.30%,3800000,0.3376,0.4326,0.4097,0.506,0.0972
221,Anguilla,Americas,14909,84.20%,9000,null,null,null,null,null
ATA,Antarctica,Oceania,2700,100.00%,1800,null,null,null,null,null
197,Antigua and Barbuda,Americas,103050,79.50%,62000,0.5906,0.4607,0.4583,0.7518,0.5617
ARG,Argentina,Americas,44688864,93.10%,30000000,0.7335,0.6236,0.75,0.8579,0.5927
ARM,Armenia,Asia,2934152,72.50%,990000,0.5944,0.5674,0.5625,0.7547,0.466
192,Aruba,Americas,105670,94.60%,91000,null,null,null,null,null
AUS,Australia,Oceania,24641662,88.20%,15000000,0.9053,0.9831,0.9722,1,0.7436
AUT,Austria,Europe,8751820,87.90%,3700000,0.8301,0.8258,0.8681,0.8505,0.7716
AZE,Azerbaijan,Asia,9923914,80.60%,1800000,0.6574,0.6798,0.7292,0.7369,0.5062
BHS,"Bahamas, The",Americas,399285,83.40%,220000,0.6552,0.618,0.7014,0.7249,0.5393
163,Bahrain,Middle East,1566993,98.00%,1100000,0.8116,0.7978,0.7986,0.7897,0.8466
BGD,Bangladesh,Asia,166368149,48.40%,28000000,0.4862,0.8034,0.7847,0.4763,0.1976
180,Barbados,Americas,286388,79.90%,160000,0.7229,0.6236,0.6667,0.8301,0.6719
BLR,Belarus,Europe,9452113,71.10%,3850000,0.7641,0.882,0.7361,0.8681,0.6881
BEL,Belgium,Europe,11498519,94.40%,6500000,0.808,0.7584,0.7569,0.974,0.693
BLZ,Belize,Americas,382444,52.30%,200000,0.4115,0.2921,0.3333,0.6765,0.2247
BEN,Benin,Africa,11458674,33.10%,920000,0.3264,0.3708,0.4722,0.3653,0.1418
201,Bermuda,Americas,61349,98.00%,39000,null,null,null,null,null
BTN,Bhutan,Asia,817054,45.30%,350000,0.4274,0.5281,0.5,0.4743,0.308
BOL,Bolivia,Americas,11215674,78.60%,6100000,0.5307,0.5787,0.5625,0.7148,0.3148
BIH,Bosnia and Herzegovina,Europe,3503554,80.70%,1500000,0.5303,0.4326,0.4306,0.7217,0.4385
BWA,Botswana,Africa,2333201,39.60%,830000,0.4253,0.1966,0.2083,0.6694,0.3982
BRA,Brazil,Americas,210867954,70.70%,139000000,0.7327,0.9719,0.9236,0.7525,0.522
215,British Virgin Islands,Americas,31196,46.90%,12000,null,null,null,null,null
BRN,Brunei,Asia,434076,94.60%,350000,0.6923,0.6067,0.7222,0.748,0.6066
BGR,Bulgaria,Europe,7036848,66.30%,3300000,0.7177,0.8708,0.7639,0.8106,0.5785
BFA,Burkina Faso,Africa,19751651,18.80%,840000,0.3016,0.6236,0.5347,0.2097,0.1603
MMR,Burma,Asia,53855735,33.40%,16000000,0.3328,0.1348,0.2292,0.5127,0.2565
BDI,Burundi,Africa,11216450,5.50%,450000,0.2985,0.309,0.3056,0.5113,0.0786
KHM,Cambodia,Asia,16245729,49.30%,6300000,0.3753,0.1742,0.25,0.5626,0.3132
CMR,Cameroon,Africa,24678234,24.80%,2700000,0.3997,0.3258,0.4583,0.5618,0.179
CAN,Canada,Americas,36953765,89.90%,23000000,0.8258,0.9101,0.9306,0.8744,0.6724
169,Cape Verde,Africa,553335,48.10%,240000,0.498,0.427,0.4861,0.6152,0.3926
206,Cayman Islands,Americas,61559,88.70%,48000,null,null,null,null,null
