id,name,Genetic Distance of Countries (To USA),"Fst genetic distance between plurality groups, current match",Linguistic proximity between dominant groups (Fearon data),"Lexicostatistical % cognate measure, dominant languages","Glottochronological separation time, dominant languages","Religious proximity between country 1 and 2, weighted (Fearon data)","Imports plus Exports to GDP ratio, %, 2000, PWT, 1","Rule of Law (0-6) , 1990 (IRIS/ICRG)","Rescaled FH index of political rights, -10-10, increasing in political rights",Combined Polity Score - Range = -10 to 10,"(CIF imports/FOB exports)-1, using flows from 1 to 2, 1980-2005 average, DOTS","(CIF imports/FOB exports)-1, using flows from 2 to 1, 1980-2005 average, DOTS"
AFG,Afghanistan,0.3784,197,1,140,264,0.8534,0,0,-10,0,0.082825,0.118698
218,Akrotiri,null,null,null,null,null,null,null,null,null,null,null,null
ALB,Albania,null,204,1,113,372,1.252,59.41745,0,3.333333,5,0,0
DZA,Algeria,0.3867,273,0,0,0,0.8534,64.34805,2.1,-6.66667,-3,0.21552,0.277289
202,American Samoa,null,991,0,0,0,0,0,0,0,0,0,0
198,Andorra,null,null,null,null,null,null,null,null,null,null,null,null
AGO,Angola,null,2288,0,0,0,1.727,0,1.4,-6.66667,-2,0.1,0.099998
221,Anguilla,null,null,null,null,null,null,null,null,null,null,null,null
ATA,Antarctica,null,null,null,null,null,null,null,null,null,null,null,null
197,Antigua and Barbuda,0.3274,1487,0,1000,0,0,150.32,0,0,0,0,0.1
ARG,Argentina,0.286,51,1,240,181,2.964,22.21539,3.9,6.666667,7,0.161634,0
ARM,Armenia,0.159,236,1,130,312,1.61,74.92654,0,0,3,0,0.377825
192,Aruba,null,null,null,null,null,null,null,null,null,null,null,null
AUS,Australia,0.6449,0,15,1000,0,2.5774,45.60325,6,10,10,0.099217,0.190834
AUT,Austria,0.7248,21,3,578,48,2.635,101.2185,6,10,10,0.059214,0.588899
AZE,Azerbaijan,0.131,866,0,0,0,0.8888,79.08358,0,-6.66667,-6,0.558069,0
BHS,"Bahamas, The",null,null,null,null,null,null,null,null,null,null,null,null
