Country,values,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,65,,,,,,,,,,,,,,,,,,,,,,,,
Australia,82,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,54,,,,,,,,,,,,,,,,,,,,,,,,
Canada,71,,,,,,,,,,,,,,,,,,,,,,,,
Chile,72,,,,,,,,,,,,,,,,,,,,,,,,
China,68,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,56,,,,,,,,,,,,,,,,,,,,,,,,
France,62,,,,,,,,,,,,,,,,,,,,,,,,
Germany,72,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,35,,,,,,,,,,,,,,,,,,,,,,,,
Greece,53,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,61,,,,,,,,,,,,,,,,,,,,,,,,
India,22,,,,,,,,,,,,,,,,,,,,,,,,
indonesia,27,,,,,,,,,,,,,,,,,,,,,,,,
Israel,83,,,,,,,,,,,,,,,,,,,,,,,,
Italy,67,,,,,,,,,,,,,,,,,,,,,,,,
Japan,59,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,76,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,30,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,80,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,42,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,80,,,,,,,,,,,,,,,,,,,,,,,,
Niferia,32,,,,,,,,,,,,,,,,,,,,,,,,
Peru,41,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,44,,,,,,,,,,,,,,,,,,,,,,,,
Poland,57,,,,,,,,,,,,,,,,,,,,,,,,
Russia,59,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,34,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,51,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,94,,,,,,,,,,,,,,,,,,,,,,,,
Spain,79,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,80,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,13,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,27,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,69,,,,,,,,,,,,,,,,,,,,,,,,
UK,72,,,,,,,,,,,,,,,,,,,,,,,,
US,77,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,38,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
